CLASS,Mutation,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,AvgCyclomatic
AbstractCaverphone.java,0.75,0,24,0,2,0,6,0,4,0,3,1
B64.java,0.9411764709999999,0,72,0,4,0,13,0,7,0,5,1
BCodec.java,0.857142857,19,143,2,18,5,44,3,23,1,15,1
Base32.java,0.903930131,71,2640,11,71,8,171,12,48,1,13,3
Base64.java,0.898876404,29,1941,6,100,3,154,7,77,1,28,2
BaseNCodec.java,0.76,4,469,5,63,2,95,5,54,0,25,2
BaseNCodecInputStream.java,0.611111111,14,192,1,31,3,43,3,21,2,6,2
BaseNCodecOutputStream.java,0.7666666670000001,0,153,1,19,0,39,1,16,0,7,2
BeiderMorseEncoder.java,0.666666667,0,109,0,4,0,28,0,12,0,10,1
BinaryCodec.java,1.0,0,335,0,50,0,57,0,38,0,13,3
Caverphone.java,0.0,38,0,2,0,9,0,6,0,5,0,1
Caverphone1.java,0.75,0,301,0,4,0,61,0,4,0,2,2
Caverphone2.java,0.75,0,316,0,4,0,64,0,4,0,2,2
CharSequenceUtils.java,0.6875,26,35,6,8,6,12,5,4,1,1,6
Charsets.java,1.0,5,24,1,3,1,8,2,4,1,3,2
ColognePhonetic.java,0.890243902,0,491,1,69,0,78,1,43,0,8,2
Crypt.java,1.0,0,50,0,8,0,13,0,9,0,5,2
DaitchMokotoffSoundex.java,0.75,81,540,13,75,7,124,13,41,0,10,2
Digest.java,0.0,279,0,32,0,53,0,26,0,10,0,2
DigestUtils.java,0.571428571,15,564,0,6,6,143,4,123,4,120,1
DoubleMetaphone.java,0.889830508,39,3085,39,399,7,409,37,232,0,39,3
Hex.java,1.0,0,485,0,26,0,76,0,40,0,27,1
HmacAlgorithms.java,0.5,0,84,0,0,0,12,0,4,0,4,1
HmacUtils.java,0.794117647,59,415,0,6,18,77,7,54,7,51,1
Lang.java,0.166666667,30,206,3,23,3,44,3,16,1,5,2
Languages.java,0.7209302329999999,0,113,0,12,0,25,0,12,0,6,1
MatchRatingApproachEncoder.java,0.9411764709999999,0,649,0,76,0,114,0,51,0,13,3
Md5Crypt.java,0.838709677,0,375,0,26,0,69,0,24,0,11,2
MessageDigestAlgorithms.java,0.0,0,55,0,0,0,1,0,1,0,1,1
Metaphone.java,0.907692308,4,713,14,146,2,166,14,87,0,12,6
MurmurHash2.java,1.0,0,437,0,16,0,54,0,22,0,10,2
MurmurHash3.java,0.997252747,0,1216,0,40,0,202,0,60,0,28,2
NameType.java,1.0,0,48,0,0,0,8,0,3,0,3,1
Nysiis.java,0.934210526,0,464,0,74,0,86,0,46,0,9,4
PercentCodec.java,0.882352941,0,432,0,72,0,88,0,51,0,15,2
PhoneticEngine.java,0.8771929820000001,43,654,5,37,7,105,5,29,1,11,2
PureJavaCrc32.java,0.99047619,0,8509,0,10,0,27,0,15,0,7,2
PureJavaCrc32C.java,0.462365591,137,8364,7,3,9,26,8,6,1,5,2
QCodec.java,0.8684210529999999,27,335,2,40,7,97,3,35,1,16,2
QuotedPrintableCodec.java,0.9411764709999999,13,512,2,80,4,119,4,62,2,23,2
RFC1522Codec.java,0.833333333,8,169,2,16,2,38,2,11,0,4,3
RefinedSoundex.java,0.833333333,0,125,1,13,0,36,1,15,0,9,1
Resources.java,1.0,3,21,0,2,1,4,1,2,1,1,2
Rule.java,0.283687943,130,809,11,105,17,162,14,66,4,18,2
RuleType.java,1.0,0,48,0,0,0,8,0,3,0,3,1
Sha2Crypt.java,0.834782609,27,800,4,38,4,130,4,26,0,9,4
Soundex.java,0.7428571429999999,8,269,2,32,3,56,4,26,2,11,1
SoundexUtils.java,1.0,0,92,0,18,0,21,0,13,0,4,3
StringEncoderComparator.java,1.0,6,30,0,0,3,11,1,2,1,2,1
StringUtils.java,0.972972973,0,163,0,24,0,39,0,33,0,21,1
URLCodec.java,0.962264151,3,340,0,46,1,87,1,37,1,14,2
UnixCrypt.java,0.962790698,6,5949,1,27,1,150,2,26,1,13,2
Utils.java,1.0,0,32,0,2,0,6,0,4,0,3,1
XXHash32.java,0.945652174,0,433,0,16,0,79,0,17,0,9,1
